100: 0.0912ms
1000: 0.8136ms
2000: 1.5883ms
3000: 2.3524ms
4000: 3.2783ms
5000: 4.0491ms
6000: 4.7842ms
7000: 5.527ms
8000: 6.3289ms
9000: 7.0872ms
10000: 7.8135ms
11000: 8.5318ms
12000: 9.25ms
13000: 10.0082ms
14000: 10.737ms
15000: 11.4702ms
16000: 12.2248ms
17000: 12.9869ms
18000: 13.7055ms
19000: 14.4159ms
20000: 15.1148ms
21000: 15.8553ms
22000: 16.5449ms
23000: 17.2459ms
24000: 17.9679ms
25000: 18.722ms
26000: 19.4445ms
27000: 20.172ms
28000: 20.8917ms
29000: 21.6278ms
30000: 22.3768ms
31000: 23.129ms
32000: 23.8828ms
33000: 24.6525ms
34000: 25.3838ms
35000: 26.1173ms
36000: 26.8273ms
37000: 27.5558ms
38000: 28.2556ms
39000: 28.9577ms
40000: 47.6383ms
41000: 48.3608ms
42000: 49.0717ms
43000: 49.7573ms
44000: 50.4292ms
45000: 51.4118ms
46000: 52.1387ms
47000: 52.8403ms
48000: 53.5539ms
49000: 54.2823ms
50000: 55.021ms
51000: 55.7439ms
52000: 56.4525ms
53000: 57.1697ms
54000: 58.3837ms
55000: 59.1265ms
56000: 59.9046ms
57000: 60.8444ms
58000: 61.6498ms
59000: 62.326ms
60000: 63.0026ms
61000: 63.9037ms
62000: 65.4533ms
63000: 66.2157ms
64000: 66.9192ms
65000: 67.6162ms
66000: 68.3213ms
67000: 69.0067ms
68000: 69.6951ms
69000: 70.3516ms
70000: 71.0258ms
71000: 72.2437ms
72000: 72.9408ms
73000: 73.5998ms
74000: 74.2936ms
75000: 74.9709ms
76000: 75.6452ms
77000: 76.2933ms
78000: 76.9618ms
79000: 80.56ms
80000: 81.2131ms
81000: 82.8774ms
82000: 83.5646ms
83000: 84.2429ms
84000: 85.0655ms
85000: 85.9222ms
86000: 102.6263ms
87000: 103.2848ms
88000: 103.9147ms
89000: 104.5299ms
90000: 105.1619ms
91000: 105.78ms
92000: 106.9764ms
93000: 107.6012ms
94000: 108.1888ms
95000: 109.1299ms
96000: 109.7133ms
97000: 110.2769ms
98000: 110.808ms
99000: 111.3282ms
100000: 111.7931ms
