100: 0.0493ms
1000: 0.4076ms
2000: 0.8165ms
3000: 1.2337ms
4000: 1.664ms
5000: 2.0876ms
6000: 2.5172ms
7000: 2.9439ms
8000: 3.3838ms
9000: 3.8036ms
10000: 4.2204ms
11000: 4.6422ms
12000: 5.0629ms
13000: 5.4832ms
14000: 5.9149ms
15000: 6.3447ms
16000: 6.911ms
17000: 7.3758ms
18000: 7.7887ms
19000: 8.2085ms
20000: 8.6439ms
21000: 9.0653ms
22000: 9.4869ms
23000: 9.9023ms
24000: 10.32ms
25000: 10.7385ms
26000: 11.1486ms
27000: 11.5674ms
28000: 11.9929ms
29000: 12.4266ms
30000: 12.8462ms
31000: 13.2818ms
32000: 13.7262ms
33000: 14.1523ms
34000: 14.5542ms
35000: 14.9761ms
36000: 15.3949ms
37000: 15.8085ms
38000: 16.2208ms
39000: 16.6479ms
40000: 17.0653ms
41000: 17.4925ms
42000: 17.9118ms
43000: 18.3405ms
44000: 18.7611ms
45000: 19.1907ms
46000: 29.7926ms
47000: 30.3069ms
48000: 30.8324ms
49000: 31.4132ms
50000: 31.9085ms
51000: 32.4192ms
52000: 32.9286ms
53000: 33.5711ms
54000: 34.2858ms
55000: 35.1296ms
56000: 35.5632ms
57000: 35.9934ms
58000: 36.4566ms
59000: 36.8727ms
60000: 37.2977ms
61000: 37.8329ms
62000: 38.355ms
63000: 39.1651ms
64000: 39.6873ms
65000: 40.1955ms
66000: 42.6923ms
67000: 43.1569ms
68000: 43.6207ms
69000: 44.0891ms
70000: 44.5567ms
71000: 44.9485ms
72000: 45.3527ms
73000: 45.96ms
74000: 46.6267ms
75000: 47.1232ms
76000: 47.5257ms
77000: 47.9364ms
78000: 48.3526ms
79000: 48.8005ms
80000: 49.2683ms
81000: 49.6756ms
82000: 50.0915ms
83000: 50.4869ms
84000: 50.8828ms
85000: 51.2827ms
86000: 51.693ms
87000: 52.0839ms
88000: 52.4938ms
89000: 52.8942ms
90000: 53.3177ms
91000: 53.7159ms
92000: 54.1141ms
93000: 54.5242ms
94000: 54.9478ms
95000: 55.378ms
96000: 55.8148ms
97000: 56.2538ms
98000: 56.7099ms
99000: 57.1502ms
100000: 57.5911ms
