100: -0.7759ms
1000: -7.6482ms
2000: -15.3911ms
3000: -23.0322ms
4000: -31.239ms
5000: -39.7717ms
6000: -49.3077ms
7000: -57.6391ms
8000: -66.787ms
9000: -74.774ms
10000: -84.3297ms
11000: -92.7989ms
12000: -100.6724ms
13000: -108.7744ms
14000: -116.3896ms
15000: -140.5303ms
16000: -150.2045ms
17000: -162.4295ms
18000: -174.2202ms
19000: -185.834ms
20000: -197.7838ms
21000: -209.1942ms
22000: -221.3436ms
23000: -232.8938ms
24000: -244.282ms
25000: -255.9908ms
26000: -268.2165ms
27000: -280.9843ms
28000: -292.1131ms
29000: -304.4311ms
30000: -316.1929ms
31000: -327.689ms
32000: -339.449ms
33000: -350.5808ms
34000: -361.8433ms
35000: -391.4368ms
36000: -403.2542ms
37000: -414.5818ms
38000: -426.9144ms
39000: -441.2729ms
40000: -454.4745ms
41000: -466.0457ms
42000: -477.7543ms
43000: -489.5859ms
44000: -500.9733ms
45000: -540.7224ms
46000: -554.4321ms
47000: -567.3983ms
48000: -580.1895ms
49000: -592.0389ms
50000: -604.4566ms
51000: -615.835ms
52000: -627.258ms
53000: -639.2282ms
54000: -673.9588ms
55000: -686.3008ms
56000: -699.3412ms
57000: -711.282ms
58000: -723.4185ms
59000: -734.7961ms
60000: -746.9743ms
61000: -758.5915ms
62000: -770.7015ms
63000: -782.1571ms
64000: -794.695ms
65000: -806.3061ms
66000: -817.5808ms
67000: -829.0757ms
68000: -840.5181ms
69000: -852.3025ms
70000: -865.3667ms
71000: -877.9586ms
72000: -897.5835ms
73000: -910.4167ms
74000: -931.5057ms
75000: -943.5649ms
76000: -956.571ms
77000: -969.9319ms
78000: -982.2427ms
79000: -997.1888ms
80000: -1009.3134ms
81000: -1020.4268ms
82000: -1031.5564ms
83000: -1063.221ms
84000: -1075.4556ms
85000: -1086.8546ms
86000: -1098.7514ms
87000: -1111.2807ms
88000: -1122.9171ms
89000: -1136.1308ms
90000: -1148.6281ms
91000: -1160.8272ms
92000: -1175.9941ms
93000: -1205.1169ms
94000: -1218.3801ms
95000: -1232.0911ms
96000: -1244.9254ms
97000: -1257.1171ms
98000: -1268.3149ms
99000: -1280.3981ms
100000: -1293.1424ms
