100: 164.0165ms
1000: 1044.9099ms
2000: 1830.9449ms
3000: 2641.4443ms
4000: 3499.1804ms
5000: 4470.1697ms
6000: 5328.1018ms
7000: 6031.5751ms
8000: 6745.2271ms
9000: 7496.3913ms
10000: 8200.5271ms
11000: 8880.296ms
12000: 9500.9644ms
13000: 10115.633ms
14000: 10771.8353ms
15000: 12079.9869ms
16000: 13163.6005ms
17000: 14345.5647ms
18000: 15417.0175ms
19000: 16514.1393ms
20000: 17370.9198ms
21000: 18477.1986ms
22000: 19513.0069ms
23000: 20413.7336ms
24000: 21470.2937ms
25000: 22408.7361ms
26000: 23291.1894ms
27000: 24520.131ms
28000: 25622.759ms
29000: 26770.6895ms
30000: 27852.2111ms
31000: 28754.6097ms
32000: 29567.8197ms
33000: 30377.7943ms
34000: 31088.9931ms
35000: 31870.4199ms
36000: 32613.3989ms
37000: 33353.4724ms
38000: 34115.3105ms
39000: 34817.2964ms
40000: 35983.8315ms
41000: 37117.7728ms
42000: 37935.1495ms
43000: 38937.5321ms
44000: 39684.7422ms
45000: 40422.3339ms
46000: 41214.7621ms
47000: 41958.8505ms
48000: 42792.123ms
49000: 43459.3068ms
50000: 44151.3881ms
51000: 45033.1093ms
52000: 45740.4206ms
53000: 46479.5378ms
54000: 47213.5515ms
55000: 47917.3696ms
56000: 48646.5421ms
57000: 49586.1626ms
58000: 50361.2547ms
59000: 51185.4347ms
60000: 52096.9257ms
61000: 52938.1592ms
62000: 54086.5885ms
63000: 55269.6031ms
64000: 56354.3182ms
65000: 57442.8731ms
66000: 58421.613ms
67000: 59172.8801ms
68000: 59921.3857ms
69000: 60583.8844ms
70000: 61243.9846ms
71000: 61775.5471ms
72000: 62395.0795ms
73000: 63070.2373ms
74000: 63666.7161ms
75000: 64304.151ms
76000: 64948.2625ms
77000: 65575.4099ms
78000: 66341.4752ms
79000: 67035.3602ms
80000: 67702.4061ms
81000: 68355.8788ms
82000: 69032.654ms
83000: 69637.9438ms
84000: 70230.4207ms
85000: 70897.1343ms
86000: 71496.5499ms
87000: 72167.3825ms
88000: 72752.6058ms
89000: 73355.2629ms
90000: 73938.0896ms
91000: 74515.41ms
92000: 75102.9935ms
93000: 75663.0449ms
94000: 76225.6994ms
95000: 76775.7305ms
96000: 77356.7964ms
97000: 77995.1882ms
98000: 78571.9915ms
99000: 79142.5837ms
100000: 79729.3426ms
