100: 1.1305ms
1000: 12.9354ms
2000: 18.8981ms
3000: 20.1429ms
4000: 45.1669ms
5000: 46.6618ms
6000: 52.109ms
7000: 64.4352ms
8000: 112.6938ms
9000: 115.0321ms
10000: 115.7614ms
11000: 117.5988ms
12000: 124.94ms
13000: 136.1404ms
14000: 148.1107ms
15000: 162.3405ms
16000: 180.2252ms
17000: 183.9085ms
18000: 185.0347ms
19000: 186.0006ms
20000: 191.8446ms
21000: 202.4465ms
22000: 224.1713ms
23000: 237.4293ms
24000: 258.9131ms
25000: 270.9231ms
26000: 283.8002ms
27000: 300.7188ms
28000: 337.1594ms
29000: 346.5643ms
30000: 354.6639ms
31000: 363.4034ms
32000: 378.5626ms
33000: 391.0176ms
34000: 411.011ms
35000: 423.3349ms
36000: 438.78ms
37000: 461.4158ms
38000: 475.3145ms
39000: 498.2646ms
40000: 522.7948ms
41000: 538.4325ms
42000: 560.5897ms
43000: 581.0544ms
44000: 591.0729ms
45000: 612.9311ms
46000: 640.8706ms
47000: 651.036ms
48000: 658.5794ms
49000: 670.0274ms
50000: 681.9141ms
51000: 694.067ms
52000: 702.5245ms
53000: 713.053ms
54000: 723.6467ms
55000: 736.169ms
56000: 773.3262ms
57000: 787.5056ms
58000: 820.6349ms
59000: 828.096ms
60000: 839.0555ms
61000: 851.2197ms
62000: 865.1186ms
63000: 876.3608ms
64000: 911.8794ms
65000: 922.8309ms
66000: 936.9923ms
67000: 950.7319ms
68000: 961.3748ms
69000: 978.7025ms
70000: 1002.631ms
71000: 1015.8122ms
72000: 1042.2512ms
73000: 1051.0943ms
74000: 1111.914ms
75000: 1126.6984ms
76000: 1135.6056ms
77000: 1144.0842ms
78000: 1201.4541ms
79000: 1210.552ms
80000: 1220.8928ms
81000: 1254.4693ms
82000: 1322.4653ms
83000: 1331.6002ms
84000: 1340.085ms
85000: 1348.7084ms
86000: 1372.4465ms
87000: 1380.9499ms
88000: 1391.226ms
89000: 1400.6847ms
90000: 1425.6911ms
91000: 1435.6628ms
92000: 1446.279ms
93000: 1455.7156ms
94000: 1481.5979ms
95000: 1519.9653ms
96000: 1562.8246ms
97000: 1589.6064ms
98000: 1671.139ms
99000: 1679.4824ms
100000: 1687.3789ms
