100: 58.6125ms
1000: 556.2448ms
2000: 1043.7718ms
3000: 1587.6593ms
4000: 2181.9389ms
5000: 2702.7586ms
6000: 3246.285ms
7000: 3712.5955ms
8000: 4177.4378ms
9000: 4649.3997ms
10000: 5112.6722ms
11000: 5660.9842ms
12000: 6146.1729ms
13000: 6624.4796ms
14000: 7090.9265ms
15000: 7539.7719ms
16000: 8006.6031ms
17000: 8496.5457ms
18000: 9270.6246ms
19000: 9983.9225ms
20000: 10654.3615ms
21000: 11333.0404ms
22000: 12050.5839ms
23000: 12707.2582ms
24000: 13475.2277ms
25000: 14192.6442ms
26000: 14814.3007ms
27000: 15385.0825ms
28000: 16104.5991ms
29000: 16840.4572ms
30000: 17458.278ms
31000: 18001.2611ms
32000: 18633.4883ms
33000: 19354.5479ms
34000: 19944.1737ms
35000: 20513.3177ms
36000: 21115.4016ms
37000: 21811.1294ms
38000: 22565.4524ms
39000: 23325.2862ms
40000: 24099.6307ms
41000: 24765.2819ms
42000: 25558.8247ms
43000: 26186.5745ms
44000: 26756.7548ms
45000: 27314.884ms
46000: 27831.3564ms
47000: 28377.6799ms
48000: 28887.7843ms
49000: 29409.954ms
50000: 29947.6287ms
51000: 30481.4178ms
52000: 31014.0707ms
53000: 31544.5929ms
54000: 32079.8765ms
55000: 32577.3825ms
56000: 33258.6824ms
57000: 33915.7364ms
58000: 34607.2095ms
59000: 35228.7175ms
60000: 35807.7496ms
61000: 36421.3211ms
62000: 37047.9924ms
63000: 37563.8169ms
64000: 38073.7557ms
65000: 38625.3697ms
66000: 39162.2401ms
67000: 39691.3223ms
68000: 40355.7411ms
69000: 40838.0645ms
70000: 41336.9054ms
71000: 41831.6502ms
72000: 42477.8328ms
73000: 42994.5112ms
74000: 43494.0605ms
75000: 43999.4077ms
76000: 44532.5773ms
77000: 45036.3863ms
78000: 45551.2169ms
79000: 46038.2359ms
80000: 46571.7616ms
81000: 47157.5973ms
82000: 47734.6582ms
83000: 48252.3243ms
84000: 48766.7708ms
85000: 49382.8439ms
86000: 49939.6681ms
87000: 50511.9965ms
88000: 51134.0556ms
89000: 51799.0056ms
90000: 52434.8061ms
91000: 53164.4977ms
92000: 53821.6548ms
93000: 54524.2633ms
94000: 55224.1978ms
95000: 55915.3528ms
96000: 56456.7813ms
97000: 57010.5255ms
98000: 57531.6936ms
99000: 58043.2415ms
100000: 58524.9072ms
