100: -0.0107ms
1000: -0.0325ms
2000: -0.0508ms
3000: -0.0684ms
4000: -0.0877ms
5000: -0.1064ms
6000: -0.1243ms
7000: -0.1418ms
8000: -0.1596ms
9000: -0.1769ms
10000: -0.1945ms
11000: -0.2118ms
12000: -0.2292ms
13000: -0.2465ms
14000: -0.2668ms
15000: -0.285ms
16000: -0.3025ms
17000: -0.3198ms
18000: -0.3371ms
19000: -0.3549ms
20000: -0.4081ms
21000: -0.4263ms
22000: -0.4438ms
23000: -0.4614ms
24000: -0.4791ms
25000: -0.4961ms
26000: -0.5139ms
27000: -0.5317ms
28000: -0.5491ms
29000: -0.5667ms
30000: -0.5842ms
31000: -0.6021ms
32000: -0.6194ms
33000: -0.6367ms
34000: -0.6545ms
35000: -0.6721ms
36000: -0.6894ms
37000: -0.7067ms
38000: -0.7243ms
39000: -0.7417ms
40000: -0.7595ms
41000: -0.7774ms
42000: -0.7946ms
43000: -0.8123ms
44000: -0.8299ms
45000: -0.8474ms
46000: -0.8649ms
47000: -0.8825ms
48000: -0.9ms
49000: -0.9175ms
50000: -0.935ms
51000: -0.9528ms
52000: -0.9705ms
53000: -0.9879ms
54000: -1.0057ms
55000: -1.0232ms
56000: -1.0411ms
57000: -1.0585ms
58000: -1.0781ms
59000: -1.0963ms
60000: -1.1141ms
61000: -1.1317ms
62000: -1.1494ms
63000: -1.1672ms
64000: -1.185ms
65000: -1.2031ms
66000: -1.221ms
67000: -1.2556ms
68000: -1.274ms
69000: -1.2924ms
70000: -1.3556ms
71000: -1.378ms
72000: -1.3963ms
73000: -1.4141ms
74000: -1.432ms
75000: -1.4506ms
76000: -1.4697ms
77000: -1.4876ms
78000: -1.5057ms
79000: -1.5249ms
80000: -1.5431ms
81000: -1.561ms
82000: -1.5798ms
83000: -1.598ms
84000: -1.6159ms
85000: -1.6341ms
86000: -1.6524ms
87000: -1.6705ms
88000: -1.6889ms
89000: -1.707ms
90000: -1.7276ms
91000: -1.7465ms
92000: -1.7653ms
93000: -1.7834ms
94000: -1.8019ms
95000: -1.8196ms
96000: -1.8381ms
97000: -1.868ms
98000: -1.8857ms
99000: -1.904ms
100000: -1.9231ms
