100: -0.047ms
1000: -3.822ms
2000: -15.5043ms
3000: -34.9506ms
4000: -62.8503ms
5000: -99.3835ms
6000: -143.2917ms
7000: -194.6345ms
8000: -255.0317ms
9000: -322.2327ms
10000: -397.7037ms
11000: -480.4645ms
12000: -572.1797ms
13000: -669.2914ms
14000: -777.8411ms
15000: -892.9996ms
16000: -1014.5104ms
17000: -1161.8713ms
18000: -1304.1469ms
19000: -1456.9681ms
20000: -1619.3268ms
21000: -1791.7087ms
22000: -1968.3135ms
23000: -2149.9782ms
24000: -2342.3274ms
25000: -2562.4969ms
26000: -2766.3251ms
27000: -2996.6603ms
28000: -3220.4833ms
29000: -3471.7629ms
30000: -3713.6154ms
31000: -3979.5008ms
32000: -4232.1933ms
33000: -4493.8412ms
34000: -4765.0452ms
35000: -5043.1289ms
36000: -5344.8336ms
37000: -5643.0448ms
38000: -5954.4514ms
39000: -6272.3286ms
40000: -6602.6854ms
41000: -7114.2709ms
42000: -7468.5494ms
43000: -7811.5538ms
44000: -8434.2826ms
45000: -8863.8518ms
46000: -9269.8942ms
47000: -9653.5369ms
48000: -10070.3056ms
49000: -10509.8356ms
50000: -10950.6212ms
51000: -11384.814ms
52000: -11823.9659ms
53000: -12298.2538ms
54000: -12749.7538ms
55000: -13230.9939ms
56000: -13729.1762ms
57000: -14327.9789ms
58000: -14814.005ms
59000: -15335.8472ms
60000: -15835.2019ms
61000: -16376.4692ms
62000: -16889.7881ms
63000: -17453.718ms
64000: -17987.7335ms
65000: -18570.1153ms
66000: -19148.6984ms
67000: -19736.8697ms
68000: -20340.3419ms
69000: -20923.2602ms
70000: -21519.21ms
71000: -22143.7638ms
72000: -22760.3413ms
73000: -23394.784ms
74000: -24044.84ms
75000: -24759.9554ms
76000: -25460.9715ms
77000: -26150.5649ms
78000: -26843.601ms
79000: -27519.2672ms
80000: -28252.931ms
81000: -29005.6641ms
82000: -29750.4236ms
83000: -30472.0323ms
84000: -31207.365ms
85000: -31952.996ms
86000: -32720.8973ms
87000: -33608.883ms
88000: -34353.9182ms
89000: -35109.4009ms
90000: -35878.7849ms
91000: -36666.0086ms
92000: -37464.2974ms
93000: -38253.5805ms
94000: -39054.5627ms
95000: -39876.6392ms
96000: -40693.9489ms
97000: -41531.4213ms
98000: -42357.7494ms
99000: -43245.3288ms
100000: -44334.4209ms
