100: 0.1775ms
1000: 0.4669ms
2000: 0.7616ms
3000: 1.1803ms
4000: 1.5115ms
5000: 2.2816ms
6000: 10.714ms
7000: 11.0108ms
8000: 11.3304ms
9000: 11.6196ms
10000: 11.8812ms
11000: 12.2114ms
12000: 12.5048ms
13000: 12.7875ms
14000: 13.0899ms
15000: 13.3604ms
16000: 13.6382ms
17000: 13.9274ms
18000: 14.1892ms
19000: 16.09ms
20000: 16.4859ms
21000: 16.8074ms
22000: 17.1048ms
23000: 17.3857ms
24000: 17.7046ms
25000: 18.0114ms
26000: 18.2741ms
27000: 18.6567ms
28000: 19.0245ms
29000: 19.3529ms
30000: 19.736ms
31000: 22.175ms
32000: 22.5087ms
33000: 22.8186ms
34000: 23.1021ms
35000: 23.4393ms
36000: 23.7616ms
37000: 24.1027ms
38000: 24.4725ms
39000: 24.8384ms
40000: 25.2452ms
41000: 25.5983ms
42000: 25.9283ms
43000: 26.2343ms
44000: 26.5617ms
45000: 26.8648ms
46000: 27.1406ms
47000: 27.3963ms
48000: 27.6264ms
49000: 27.9165ms
50000: 28.2453ms
51000: 28.5375ms
52000: 28.8655ms
53000: 29.188ms
54000: 29.4809ms
55000: 29.7871ms
56000: 30.0776ms
57000: 30.3594ms
58000: 30.6236ms
59000: 30.9024ms
60000: 31.2188ms
61000: 35.4797ms
62000: 35.8575ms
63000: 36.2547ms
64000: 36.6195ms
65000: 36.9488ms
66000: 37.2858ms
67000: 37.5943ms
68000: 37.9312ms
69000: 38.2514ms
70000: 38.5568ms
71000: 38.8337ms
72000: 39.1255ms
73000: 39.4607ms
74000: 39.7868ms
75000: 40.1183ms
76000: 40.4005ms
77000: 40.7023ms
78000: 40.9433ms
79000: 41.1844ms
80000: 41.4737ms
81000: 41.7374ms
82000: 41.9924ms
83000: 42.2533ms
84000: 42.5032ms
85000: 42.7588ms
86000: 43.0206ms
87000: 43.3099ms
88000: 43.6105ms
89000: 43.8776ms
90000: 44.103ms
91000: 48.4796ms
92000: 48.7225ms
93000: 48.9883ms
94000: 49.2363ms
95000: 49.5073ms
96000: 49.7827ms
97000: 50.03ms
98000: 50.2926ms
99000: 50.5472ms
100000: 50.7576ms
