100: 0.5268ms
1000: 0.7647ms
2000: 1.043ms
3000: 1.3422ms
4000: 1.6484ms
5000: 2.0439ms
6000: 2.3282ms
7000: 2.6338ms
8000: 2.9305ms
9000: 3.2701ms
10000: 3.6567ms
11000: 4.105ms
12000: 4.5162ms
13000: 4.8693ms
14000: 5.1992ms
15000: 5.5323ms
16000: 5.8173ms
17000: 6.0955ms
18000: 6.3616ms
19000: 6.6366ms
20000: 6.928ms
21000: 7.1726ms
22000: 7.4263ms
23000: 7.6822ms
24000: 7.9157ms
25000: 8.1631ms
26000: 8.4405ms
27000: 8.6837ms
28000: 8.9492ms
29000: 9.2351ms
30000: 9.4931ms
31000: 9.7904ms
32000: 10.0597ms
33000: 10.3369ms
34000: 10.5996ms
35000: 10.8502ms
36000: 11.1474ms
37000: 11.4324ms
38000: 11.7222ms
39000: 12.0379ms
40000: 12.2989ms
41000: 12.8008ms
42000: 13.1573ms
43000: 13.5114ms
44000: 13.8649ms
45000: 14.1675ms
46000: 14.5279ms
47000: 14.8241ms
48000: 15.1289ms
49000: 15.4276ms
50000: 15.7652ms
51000: 16.1296ms
52000: 16.4197ms
53000: 16.7265ms
54000: 16.963ms
55000: 17.201ms
56000: 17.4548ms
57000: 17.6822ms
58000: 17.9725ms
59000: 18.2178ms
60000: 18.5251ms
61000: 18.7997ms
62000: 19.0669ms
63000: 19.351ms
64000: 19.6723ms
65000: 19.9464ms
66000: 20.2111ms
67000: 20.479ms
68000: 20.7784ms
69000: 21.1035ms
70000: 21.4032ms
71000: 21.6394ms
72000: 21.9004ms
73000: 22.1552ms
74000: 22.4398ms
75000: 22.7879ms
76000: 23.0851ms
77000: 23.3656ms
78000: 23.6177ms
79000: 23.902ms
80000: 24.2124ms
81000: 24.4946ms
82000: 24.8307ms
83000: 25.1663ms
84000: 25.479ms
85000: 25.7663ms
86000: 26.0803ms
87000: 26.4174ms
88000: 26.7421ms
89000: 27.0953ms
90000: 27.3476ms
91000: 27.6814ms
92000: 27.9955ms
93000: 28.2945ms
94000: 28.7994ms
95000: 29.114ms
96000: 29.4146ms
97000: 29.6871ms
98000: 29.9777ms
99000: 30.2494ms
100000: 30.5434ms
