100: 0.2503ms
1000: 0.5378ms
2000: 0.8604ms
3000: 1.1788ms
4000: 1.5557ms
5000: 1.867ms
6000: 2.5187ms
7000: 5.0378ms
8000: 5.3475ms
9000: 5.6587ms
10000: 5.9775ms
11000: 6.2351ms
12000: 6.9669ms
13000: 7.3046ms
14000: 7.5613ms
15000: 7.8558ms
16000: 8.207ms
17000: 8.5343ms
18000: 8.8631ms
19000: 9.1756ms
20000: 9.4681ms
21000: 9.8078ms
22000: 10.0919ms
23000: 13.3053ms
24000: 13.5975ms
25000: 13.8711ms
26000: 14.1479ms
27000: 14.405ms
28000: 14.6515ms
29000: 14.8822ms
30000: 15.127ms
31000: 15.3745ms
32000: 15.7517ms
33000: 16.1474ms
34000: 18.9273ms
35000: 19.2915ms
36000: 19.6729ms
37000: 20.0228ms
38000: 20.3752ms
39000: 20.7254ms
40000: 21.0932ms
41000: 21.7493ms
42000: 22.1357ms
43000: 22.5509ms
44000: 22.9866ms
45000: 23.3801ms
46000: 23.8312ms
47000: 25.0902ms
48000: 25.5288ms
49000: 25.8669ms
50000: 26.2593ms
51000: 26.5807ms
52000: 26.8816ms
53000: 43.3075ms
54000: 43.5755ms
55000: 43.8754ms
56000: 44.2204ms
57000: 44.5223ms
58000: 44.8398ms
59000: 45.3532ms
60000: 46.0984ms
61000: 46.4258ms
62000: 46.757ms
63000: 47.0603ms
64000: 47.3489ms
65000: 47.648ms
66000: 47.9176ms
67000: 48.1759ms
68000: 48.4828ms
69000: 48.7649ms
70000: 49.0523ms
71000: 49.3765ms
72000: 49.6693ms
73000: 49.9487ms
74000: 50.2227ms
75000: 50.5199ms
76000: 50.8333ms
77000: 51.2642ms
78000: 51.5808ms
79000: 52.1835ms
80000: 52.505ms
81000: 52.7959ms
82000: 53.0567ms
83000: 53.2985ms
84000: 53.5845ms
85000: 53.8713ms
86000: 54.1514ms
87000: 54.4221ms
88000: 54.7109ms
89000: 54.9599ms
90000: 55.217ms
91000: 55.486ms
92000: 55.7373ms
93000: 55.9952ms
94000: 56.2695ms
95000: 56.5464ms
96000: 60.9604ms
97000: 61.2248ms
98000: 61.4901ms
99000: 61.7306ms
100000: 61.9631ms
