100: 0.0572ms
1000: 0.4858ms
2000: 0.9713ms
3000: 1.487ms
4000: 2.0675ms
5000: 2.5366ms
6000: 2.9812ms
7000: 3.5145ms
8000: 4.0113ms
9000: 4.5059ms
10000: 5.1034ms
11000: 5.8102ms
12000: 6.332ms
13000: 6.8528ms
14000: 7.3376ms
15000: 7.8528ms
16000: 8.4187ms
17000: 11.8385ms
18000: 12.5437ms
19000: 13.3138ms
20000: 14.2889ms
21000: 15.2087ms
22000: 15.8899ms
23000: 16.7419ms
24000: 17.555ms
25000: 18.3287ms
26000: 19.0618ms
27000: 19.6587ms
28000: 20.3437ms
29000: 21.1011ms
30000: 21.7654ms
31000: 23.5184ms
32000: 24.2221ms
33000: 24.9626ms
34000: 25.7665ms
35000: 26.8286ms
36000: 27.4474ms
37000: 28.0448ms
38000: 28.6191ms
39000: 29.866ms
40000: 30.5621ms
41000: 31.2845ms
42000: 32.1077ms
43000: 32.7571ms
44000: 33.435ms
45000: 34.1118ms
46000: 34.6631ms
47000: 35.2712ms
48000: 35.7618ms
49000: 36.3781ms
50000: 36.962ms
51000: 37.5858ms
52000: 38.1085ms
53000: 38.582ms
54000: 39.0665ms
55000: 44.4784ms
56000: 44.984ms
57000: 45.4398ms
58000: 45.9513ms
59000: 46.5084ms
60000: 47.0556ms
61000: 47.6211ms
62000: 48.2624ms
63000: 48.9152ms
64000: 49.4877ms
65000: 50.0425ms
66000: 50.6601ms
67000: 51.2851ms
68000: 51.9516ms
69000: 52.6358ms
70000: 53.2587ms
71000: 53.8318ms
72000: 57.5401ms
73000: 58.2154ms
74000: 58.791ms
75000: 59.4014ms
76000: 59.9615ms
77000: 60.4682ms
78000: 61.034ms
79000: 64.2736ms
80000: 64.9355ms
81000: 65.4598ms
82000: 68.3297ms
83000: 74.1468ms
84000: 74.7366ms
85000: 75.2657ms
86000: 75.8464ms
87000: 76.4421ms
88000: 76.9315ms
89000: 77.4782ms
90000: 78.2829ms
91000: 78.9332ms
92000: 79.6204ms
93000: 80.1507ms
94000: 80.6915ms
95000: 81.2347ms
96000: 81.8694ms
97000: 82.6031ms
98000: 83.2082ms
99000: 83.8738ms
100000: 84.3694ms
