100: 0.0362ms
1000: 0.8075ms
2000: 1.1336ms
3000: 1.4529ms
4000: 1.7708ms
5000: 2.0897ms
6000: 2.4072ms
7000: 2.7751ms
8000: 3.0959ms
9000: 3.4203ms
10000: 3.7388ms
11000: 4.0578ms
12000: 4.3757ms
13000: 4.6989ms
14000: 5.0149ms
15000: 5.329ms
16000: 5.6428ms
17000: 5.9621ms
18000: 6.2787ms
19000: 6.7309ms
20000: 7.15ms
21000: 7.4917ms
22000: 7.8205ms
23000: 8.4216ms
24000: 8.7424ms
25000: 9.062ms
26000: 9.3774ms
27000: 9.6925ms
28000: 10.0034ms
29000: 10.3184ms
30000: 10.6319ms
31000: 10.9462ms
32000: 11.2592ms
33000: 11.6534ms
34000: 11.9702ms
35000: 12.2908ms
36000: 19.619ms
37000: 19.9352ms
38000: 20.2557ms
39000: 20.5832ms
40000: 20.9055ms
41000: 21.2301ms
42000: 21.5561ms
43000: 21.8744ms
44000: 22.1941ms
45000: 22.5133ms
46000: 22.8403ms
47000: 23.1498ms
48000: 23.4581ms
49000: 23.7583ms
50000: 24.0596ms
51000: 24.3644ms
52000: 24.6732ms
53000: 24.9832ms
54000: 25.2912ms
55000: 25.6058ms
56000: 25.9163ms
57000: 26.2207ms
58000: 26.5298ms
59000: 26.8398ms
60000: 27.1875ms
61000: 27.5085ms
62000: 27.9009ms
63000: 28.2234ms
64000: 28.533ms
65000: 28.8455ms
66000: 29.1547ms
67000: 29.4697ms
68000: 29.7843ms
69000: 30.1014ms
70000: 30.4112ms
71000: 30.7244ms
72000: 31.0301ms
73000: 31.3358ms
74000: 31.6461ms
75000: 31.9519ms
76000: 32.2581ms
77000: 32.5668ms
78000: 32.8707ms
79000: 33.1803ms
80000: 33.4823ms
81000: 33.789ms
82000: 34.1029ms
83000: 34.4166ms
84000: 34.7347ms
85000: 35.0528ms
86000: 35.3625ms
87000: 35.6757ms
88000: 35.9828ms
89000: 36.2945ms
90000: 36.6076ms
91000: 36.9196ms
92000: 37.2311ms
93000: 37.5411ms
94000: 37.848ms
95000: 38.1344ms
96000: 38.3976ms
97000: 38.6532ms
98000: 38.9052ms
99000: 39.1521ms
100000: 39.3895ms
