100: 0.0399ms
1000: 0.4046ms
2000: 0.8903ms
3000: 3.7193ms
4000: 4.1887ms
5000: 4.6827ms
6000: 5.2058ms
7000: 5.7734ms
8000: 6.2265ms
9000: 6.7459ms
10000: 7.2083ms
11000: 7.7016ms
12000: 8.2637ms
13000: 9.681ms
14000: 10.1909ms
15000: 10.6477ms
16000: 11.1438ms
17000: 11.6084ms
18000: 12.3329ms
19000: 12.8521ms
20000: 13.3838ms
21000: 13.9723ms
22000: 14.4633ms
23000: 16.5553ms
24000: 17.1778ms
25000: 17.7392ms
26000: 18.333ms
27000: 19.4096ms
28000: 39.722ms
29000: 40.3057ms
30000: 40.808ms
31000: 41.3668ms
32000: 41.9901ms
33000: 42.4346ms
34000: 42.9012ms
35000: 43.4295ms
36000: 44.4658ms
37000: 45.0939ms
38000: 45.7666ms
39000: 46.3927ms
40000: 47.0773ms
41000: 47.603ms
42000: 48.1748ms
43000: 48.7508ms
44000: 50.6622ms
45000: 51.3677ms
46000: 52.0427ms
47000: 52.7383ms
48000: 53.3069ms
49000: 53.983ms
50000: 54.4472ms
51000: 54.9505ms
52000: 55.4897ms
53000: 56.0242ms
54000: 56.5095ms
55000: 58.1276ms
56000: 58.8504ms
57000: 59.5878ms
58000: 60.1836ms
59000: 60.7986ms
60000: 61.3037ms
61000: 61.9437ms
62000: 62.5122ms
63000: 63.1332ms
64000: 63.7059ms
65000: 64.1275ms
66000: 64.5923ms
67000: 65.0523ms
68000: 65.5621ms
69000: 66.0781ms
70000: 66.5954ms
71000: 67.0666ms
72000: 67.5232ms
73000: 68.0166ms
74000: 68.5643ms
75000: 68.9744ms
76000: 69.4374ms
77000: 70.0003ms
78000: 70.6257ms
79000: 71.0843ms
80000: 71.5705ms
81000: 72.0555ms
82000: 72.5932ms
83000: 73.1866ms
84000: 73.7286ms
85000: 74.2527ms
86000: 80.1379ms
87000: 80.6918ms
88000: 81.2646ms
89000: 81.7956ms
90000: 82.2147ms
91000: 82.6928ms
92000: 83.1321ms
93000: 83.6754ms
94000: 84.1796ms
95000: 86.9791ms
96000: 87.7321ms
97000: 88.6199ms
98000: 89.7411ms
99000: 90.2946ms
100000: 90.7004ms
