100: 0.0436ms
1000: 0.3343ms
2000: 0.6458ms
3000: 0.9607ms
4000: 1.2781ms
5000: 1.6015ms
6000: 1.9202ms
7000: 2.2318ms
8000: 2.5416ms
9000: 2.855ms
10000: 3.1859ms
11000: 3.5581ms
12000: 3.9287ms
13000: 4.2421ms
14000: 4.5578ms
15000: 4.8644ms
16000: 5.1852ms
17000: 5.4956ms
18000: 5.8046ms
19000: 6.1116ms
20000: 6.4296ms
21000: 6.7427ms
22000: 7.0501ms
23000: 7.3692ms
24000: 8.8456ms
25000: 9.2056ms
26000: 9.5363ms
27000: 9.8845ms
28000: 10.2185ms
29000: 10.542ms
30000: 10.8582ms
31000: 11.1772ms
32000: 11.4943ms
33000: 11.8053ms
34000: 12.1144ms
35000: 12.4177ms
36000: 12.727ms
37000: 13.0422ms
38000: 13.3733ms
39000: 13.7513ms
40000: 14.0593ms
41000: 14.3696ms
42000: 14.6893ms
43000: 15.004ms
44000: 15.319ms
45000: 15.6687ms
46000: 15.9923ms
47000: 16.3119ms
48000: 16.6364ms
49000: 16.9562ms
50000: 17.2773ms
51000: 17.6108ms
52000: 17.9117ms
53000: 18.2219ms
54000: 18.5597ms
55000: 18.9256ms
56000: 19.242ms
57000: 19.5578ms
58000: 19.869ms
59000: 20.2161ms
60000: 20.5897ms
61000: 20.9031ms
62000: 21.2134ms
63000: 21.5252ms
64000: 21.8412ms
65000: 22.1653ms
66000: 22.7954ms
67000: 23.1241ms
68000: 23.4399ms
69000: 23.7468ms
70000: 24.059ms
71000: 24.3841ms
72000: 24.7242ms
73000: 25.1493ms
74000: 25.4638ms
75000: 25.7699ms
76000: 26.0791ms
77000: 26.3897ms
78000: 26.6975ms
79000: 27.0048ms
80000: 27.3122ms
81000: 27.6256ms
82000: 27.9366ms
83000: 28.2533ms
84000: 28.5771ms
85000: 28.8927ms
86000: 29.2445ms
87000: 29.6116ms
88000: 29.9426ms
89000: 30.2423ms
90000: 30.5445ms
91000: 30.8485ms
92000: 31.1437ms
93000: 31.4423ms
94000: 31.7386ms
95000: 32.0309ms
96000: 32.3277ms
97000: 32.6502ms
98000: 32.944ms
99000: 33.2041ms
100000: 33.4382ms
