100: 0.4782ms
1000: 1.0421ms
2000: 1.5405ms
3000: 2.0601ms
4000: 2.6567ms
5000: 3.2097ms
6000: 3.7824ms
7000: 4.3743ms
8000: 4.9766ms
9000: 5.6575ms
10000: 6.2955ms
11000: 7.1911ms
12000: 7.7159ms
13000: 8.3025ms
14000: 8.8974ms
15000: 9.6289ms
16000: 10.2549ms
17000: 10.8605ms
18000: 11.5575ms
19000: 12.1492ms
20000: 12.8995ms
21000: 13.5559ms
22000: 14.2049ms
23000: 14.9479ms
24000: 15.7228ms
25000: 16.3597ms
26000: 16.8564ms
27000: 17.4518ms
28000: 18.1577ms
29000: 18.8201ms
30000: 19.6082ms
31000: 20.267ms
32000: 20.9616ms
33000: 21.7257ms
34000: 22.4225ms
35000: 23.1212ms
36000: 23.789ms
37000: 24.8489ms
38000: 25.8527ms
39000: 26.6857ms
40000: 27.346ms
41000: 28.0662ms
42000: 28.7539ms
43000: 29.51ms
44000: 30.1445ms
45000: 30.7782ms
46000: 31.51ms
47000: 32.1588ms
48000: 32.8713ms
49000: 33.5208ms
50000: 34.2837ms
51000: 35.2447ms
52000: 35.9668ms
53000: 36.6226ms
54000: 37.4576ms
55000: 38.2854ms
56000: 39.7804ms
57000: 40.4783ms
58000: 41.0459ms
59000: 41.5611ms
60000: 42.3247ms
61000: 42.9618ms
62000: 43.7204ms
63000: 44.3897ms
64000: 45.0188ms
65000: 45.6115ms
66000: 46.3111ms
67000: 47.1989ms
68000: 47.831ms
69000: 48.4246ms
70000: 49.0719ms
71000: 49.8285ms
72000: 50.5761ms
73000: 51.3342ms
74000: 52.0197ms
75000: 52.6311ms
76000: 53.3804ms
77000: 54.0607ms
78000: 55.3046ms
79000: 56.0496ms
80000: 56.7387ms
81000: 57.4833ms
82000: 58.1977ms
83000: 58.8607ms
84000: 59.5677ms
85000: 60.2839ms
86000: 61.0345ms
87000: 61.8408ms
88000: 62.6012ms
89000: 63.3583ms
90000: 64.1782ms
91000: 64.9974ms
92000: 65.7047ms
93000: 66.2757ms
94000: 66.9432ms
95000: 67.8658ms
96000: 68.5839ms
97000: 69.3834ms
98000: 70.1486ms
99000: 70.8283ms
100000: 71.6152ms
