100: 1.5615ms
1000: 2.1041ms
2000: 2.6769ms
3000: 3.4208ms
4000: 3.9998ms
5000: 4.5679ms
6000: 5.1834ms
7000: 5.7556ms
8000: 6.3288ms
9000: 6.8986ms
10000: 7.4667ms
11000: 8.0484ms
12000: 8.7116ms
13000: 9.2778ms
14000: 9.884ms
15000: 10.4551ms
16000: 12.2828ms
17000: 12.8768ms
18000: 13.4442ms
19000: 14.0005ms
20000: 14.5502ms
21000: 15.1042ms
22000: 15.6602ms
23000: 16.2167ms
24000: 16.7748ms
25000: 17.3298ms
26000: 17.8815ms
27000: 18.4297ms
28000: 18.9773ms
29000: 19.5268ms
30000: 20.0807ms
31000: 20.6322ms
32000: 21.181ms
33000: 21.733ms
34000: 22.2843ms
35000: 22.8387ms
36000: 23.3848ms
37000: 23.9339ms
38000: 24.4828ms
39000: 25.0335ms
40000: 25.5819ms
41000: 26.1345ms
42000: 26.6852ms
43000: 27.234ms
44000: 27.7983ms
45000: 28.3623ms
46000: 28.9209ms
47000: 29.4726ms
48000: 30.0346ms
49000: 30.5958ms
50000: 31.1542ms
51000: 31.7068ms
52000: 32.3143ms
53000: 32.8913ms
54000: 33.4582ms
55000: 34.0202ms
56000: 34.5797ms
57000: 39.023ms
58000: 39.5623ms
59000: 40.0957ms
60000: 40.6268ms
61000: 41.16ms
62000: 41.6946ms
63000: 42.2291ms
64000: 42.7631ms
65000: 43.2961ms
66000: 43.8872ms
67000: 44.4301ms
68000: 44.974ms
69000: 45.5092ms
70000: 46.0508ms
71000: 46.5878ms
72000: 47.1275ms
73000: 57.0208ms
74000: 57.5724ms
75000: 58.1071ms
76000: 60.304ms
77000: 61.631ms
78000: 62.1738ms
79000: 62.7068ms
80000: 63.2217ms
81000: 63.7359ms
82000: 64.2477ms
83000: 65.1625ms
84000: 65.6841ms
85000: 66.1996ms
86000: 66.7118ms
87000: 67.2317ms
88000: 67.751ms
89000: 70.5169ms
90000: 71.0332ms
91000: 71.543ms
92000: 72.0515ms
93000: 72.8866ms
94000: 73.3977ms
95000: 73.8871ms
96000: 74.3741ms
97000: 74.8966ms
98000: 75.3779ms
99000: 76.7948ms
100000: 77.2209ms
