100: 0.0218ms
1000: 0.1779ms
2000: 3.3901ms
3000: 3.5837ms
4000: 3.7695ms
5000: 3.9503ms
6000: 4.1011ms
7000: 4.3344ms
8000: 4.5313ms
9000: 4.7007ms
10000: 4.8495ms
11000: 4.9986ms
12000: 5.1549ms
13000: 5.303ms
14000: 5.45ms
15000: 5.6017ms
16000: 5.754ms
17000: 5.9023ms
18000: 6.0485ms
19000: 6.5438ms
20000: 6.6991ms
21000: 6.8558ms
22000: 7.0134ms
23000: 7.1709ms
24000: 10.2358ms
25000: 10.4348ms
26000: 10.6217ms
27000: 10.7698ms
28000: 10.919ms
29000: 11.0708ms
30000: 11.2785ms
31000: 11.4321ms
32000: 11.5871ms
33000: 11.7412ms
34000: 11.8832ms
35000: 12.0311ms
36000: 12.1799ms
37000: 12.3276ms
38000: 12.473ms
39000: 12.622ms
40000: 12.7712ms
41000: 12.9235ms
42000: 13.0668ms
43000: 13.5386ms
44000: 13.6901ms
45000: 13.8388ms
46000: 13.9863ms
47000: 14.199ms
48000: 14.4259ms
49000: 14.5829ms
50000: 14.8766ms
51000: 15.1366ms
52000: 15.4313ms
53000: 15.6602ms
54000: 15.869ms
55000: 16.0282ms
56000: 16.1917ms
57000: 16.3519ms
58000: 16.5093ms
59000: 16.6675ms
60000: 16.8267ms
61000: 16.9855ms
62000: 17.1458ms
63000: 17.3084ms
64000: 17.5115ms
65000: 17.9569ms
66000: 18.1425ms
67000: 18.3016ms
68000: 18.4775ms
69000: 18.6419ms
70000: 18.8046ms
71000: 18.9702ms
72000: 19.1381ms
73000: 19.2981ms
74000: 19.4651ms
75000: 19.634ms
76000: 19.8036ms
77000: 19.9739ms
78000: 20.2498ms
79000: 20.4271ms
80000: 20.5964ms
81000: 20.7672ms
82000: 20.9431ms
83000: 21.1366ms
84000: 21.3747ms
85000: 21.5679ms
86000: 21.8833ms
87000: 22.3129ms
88000: 22.4994ms
89000: 22.7274ms
90000: 22.9155ms
91000: 23.1005ms
92000: 23.2776ms
93000: 23.4614ms
94000: 23.6494ms
95000: 23.8533ms
96000: 24.0659ms
97000: 24.2772ms
98000: 24.4948ms
99000: 24.7104ms
100000: 24.9489ms
