100: 35.0721ms
1000: 35.3073ms
2000: 61.1806ms
3000: 61.4543ms
4000: 61.7139ms
5000: 62.0237ms
6000: 62.2822ms
7000: 62.5349ms
8000: 62.7912ms
9000: 63.0474ms
10000: 63.3037ms
11000: 63.5562ms
12000: 63.8101ms
13000: 66.1938ms
14000: 66.456ms
15000: 66.7119ms
16000: 67.0091ms
17000: 67.2643ms
18000: 75.8463ms
19000: 76.1408ms
20000: 76.4183ms
21000: 76.678ms
22000: 76.9402ms
23000: 77.1986ms
24000: 77.4576ms
25000: 77.7177ms
26000: 77.9812ms
27000: 78.2413ms
28000: 78.5042ms
29000: 78.7651ms
30000: 79.0736ms
31000: 79.3623ms
32000: 79.6288ms
33000: 79.8901ms
34000: 80.145ms
35000: 80.3997ms
36000: 80.6587ms
37000: 80.9218ms
38000: 81.1819ms
39000: 81.4406ms
40000: 81.6958ms
41000: 81.9554ms
42000: 82.2112ms
43000: 82.4672ms
44000: 82.7202ms
45000: 82.9755ms
46000: 83.2369ms
47000: 83.494ms
48000: 83.7496ms
49000: 84.0065ms
50000: 84.2615ms
51000: 84.5167ms
52000: 84.7724ms
53000: 85.0326ms
54000: 85.2927ms
55000: 85.5564ms
56000: 85.8172ms
57000: 86.0795ms
58000: 90.4495ms
59000: 90.7425ms
60000: 91.0168ms
61000: 91.2876ms
62000: 91.5667ms
63000: 91.9328ms
64000: 92.1923ms
65000: 92.449ms
66000: 92.7051ms
67000: 92.9602ms
68000: 93.2199ms
69000: 93.485ms
70000: 93.7447ms
71000: 94.0052ms
72000: 94.2634ms
73000: 94.5264ms
74000: 94.7844ms
75000: 95.0484ms
76000: 95.308ms
77000: 95.569ms
78000: 95.8306ms
79000: 96.0951ms
80000: 96.3579ms
81000: 96.6165ms
82000: 96.8721ms
83000: 97.1252ms
84000: 97.3831ms
85000: 97.6375ms
86000: 97.8964ms
87000: 98.1492ms
88000: 102.8754ms
89000: 103.1648ms
90000: 103.4431ms
91000: 103.7172ms
92000: 103.9931ms
93000: 104.2541ms
94000: 104.5137ms
95000: 104.7696ms
96000: 105.0254ms
97000: 105.2818ms
98000: 105.5387ms
99000: 105.8798ms
100000: 106.2693ms
