100: 32.2003ms
1000: 32.4716ms
2000: 32.7623ms
3000: 33.0577ms
4000: 33.3511ms
5000: 33.6416ms
6000: 33.9325ms
7000: 38.1374ms
8000: 38.4393ms
9000: 38.73ms
10000: 39.0274ms
11000: 39.32ms
12000: 39.6142ms
13000: 39.9049ms
14000: 40.2009ms
15000: 40.4929ms
16000: 40.788ms
17000: 41.0827ms
18000: 41.3782ms
19000: 41.6696ms
20000: 42.0774ms
21000: 42.4177ms
22000: 42.7207ms
23000: 43.0952ms
24000: 43.4286ms
25000: 43.7532ms
26000: 44.0631ms
27000: 44.3581ms
28000: 44.6511ms
29000: 44.9421ms
30000: 45.2376ms
31000: 45.5304ms
32000: 45.8235ms
33000: 46.1171ms
34000: 46.4109ms
35000: 46.7014ms
36000: 46.9963ms
37000: 47.3118ms
38000: 51.2456ms
39000: 51.5372ms
40000: 51.8275ms
41000: 52.1247ms
42000: 52.4154ms
43000: 52.7076ms
44000: 52.997ms
45000: 53.2822ms
46000: 53.5706ms
47000: 53.862ms
48000: 54.1575ms
49000: 54.4495ms
50000: 54.7383ms
51000: 55.031ms
52000: 55.32ms
53000: 55.6111ms
54000: 55.9069ms
55000: 56.2082ms
56000: 56.4981ms
57000: 56.7947ms
58000: 57.0896ms
59000: 57.379ms
60000: 57.6656ms
61000: 57.9508ms
62000: 58.244ms
63000: 58.5316ms
64000: 58.8194ms
65000: 59.1075ms
66000: 59.3927ms
67000: 59.6817ms
68000: 59.9687ms
69000: 60.2552ms
70000: 72.861ms
71000: 73.1689ms
72000: 73.4587ms
73000: 73.7504ms
74000: 74.0477ms
75000: 74.3425ms
76000: 74.6398ms
77000: 74.9357ms
78000: 75.233ms
79000: 75.5292ms
80000: 75.8272ms
81000: 76.1235ms
82000: 76.4171ms
83000: 76.711ms
84000: 77.0111ms
85000: 77.3068ms
86000: 77.6011ms
87000: 77.897ms
88000: 90.2823ms
89000: 90.61ms
90000: 90.9367ms
91000: 91.2448ms
92000: 91.5436ms
93000: 91.8354ms
94000: 92.1946ms
95000: 92.4913ms
96000: 92.7867ms
97000: 93.0862ms
98000: 93.3821ms
99000: 93.6753ms
100000: 93.9723ms
