100: 0.0857ms
1000: 0.8232ms
2000: 1.817ms
3000: 2.6093ms
4000: 3.3908ms
5000: 4.1562ms
6000: 20.4841ms
7000: 21.366ms
8000: 22.1395ms
9000: 23.4263ms
10000: 24.1614ms
11000: 24.8852ms
12000: 25.7104ms
13000: 26.546ms
14000: 27.3321ms
15000: 28.1116ms
16000: 28.8872ms
17000: 29.779ms
18000: 30.527ms
19000: 31.2508ms
20000: 31.958ms
21000: 32.693ms
22000: 33.378ms
23000: 34.0789ms
24000: 34.7861ms
25000: 35.5536ms
26000: 36.4017ms
27000: 37.1586ms
28000: 37.8832ms
29000: 38.6354ms
30000: 39.3898ms
31000: 40.1423ms
32000: 40.9984ms
33000: 41.7829ms
34000: 42.5405ms
35000: 43.293ms
36000: 44.161ms
37000: 45.2322ms
38000: 46.4135ms
39000: 47.1433ms
40000: 47.8754ms
41000: 48.6466ms
42000: 53.6406ms
43000: 54.335ms
44000: 55.0013ms
45000: 55.7335ms
46000: 56.4582ms
47000: 57.299ms
48000: 58.4101ms
49000: 59.171ms
50000: 59.9231ms
51000: 60.6544ms
52000: 61.3786ms
53000: 62.0964ms
54000: 62.8151ms
55000: 63.5002ms
56000: 64.4501ms
57000: 65.226ms
58000: 65.9852ms
59000: 66.6668ms
60000: 67.3458ms
61000: 68.0064ms
62000: 68.7063ms
63000: 69.3881ms
64000: 70.086ms
65000: 71.2037ms
66000: 72.2745ms
67000: 72.9809ms
68000: 73.6608ms
69000: 74.3197ms
70000: 74.996ms
71000: 75.6351ms
72000: 76.2843ms
73000: 76.9395ms
74000: 77.6304ms
75000: 78.4277ms
76000: 79.1026ms
77000: 79.7593ms
78000: 80.4317ms
79000: 81.0779ms
80000: 81.7198ms
81000: 82.3722ms
82000: 83.0399ms
83000: 83.6937ms
84000: 84.3251ms
85000: 84.9825ms
86000: 85.834ms
87000: 86.4885ms
88000: 87.113ms
89000: 87.7562ms
90000: 88.3846ms
91000: 89.003ms
92000: 89.5935ms
93000: 90.1967ms
94000: 90.7804ms
95000: 94.2688ms
96000: 94.8745ms
97000: 95.7994ms
98000: 96.3549ms
99000: 96.8934ms
100000: 97.3505ms
