100: 0.0169ms
1000: 0.1556ms
2000: 0.3032ms
3000: 0.4536ms
4000: 0.6086ms
5000: 0.7599ms
6000: 0.9096ms
7000: 1.0656ms
8000: 1.2187ms
9000: 1.3676ms
10000: 1.5205ms
11000: 1.6742ms
12000: 1.8282ms
13000: 1.9806ms
14000: 2.1386ms
15000: 2.4172ms
16000: 2.6822ms
17000: 2.9839ms
18000: 3.1983ms
19000: 3.4208ms
20000: 3.9818ms
21000: 4.6336ms
22000: 4.8416ms
23000: 5.0527ms
24000: 5.2162ms
25000: 5.3716ms
26000: 5.5282ms
27000: 5.6852ms
28000: 5.8401ms
29000: 6.0215ms
30000: 6.3883ms
31000: 6.6433ms
32000: 6.8558ms
33000: 7.2919ms
34000: 7.449ms
35000: 7.6548ms
36000: 7.8582ms
37000: 8.031ms
38000: 8.222ms
39000: 8.4241ms
40000: 8.5986ms
41000: 8.7702ms
42000: 8.925ms
43000: 9.0976ms
44000: 9.3105ms
45000: 9.5152ms
46000: 9.7272ms
47000: 9.9694ms
48000: 12.142ms
49000: 12.3558ms
50000: 12.5419ms
51000: 12.6995ms
52000: 12.856ms
53000: 13.0653ms
54000: 13.2258ms
55000: 13.3819ms
56000: 13.5397ms
57000: 13.702ms
58000: 13.8654ms
59000: 14.0299ms
60000: 14.1907ms
61000: 14.3562ms
62000: 14.5182ms
63000: 14.6829ms
64000: 14.8471ms
65000: 15.0132ms
66000: 15.1686ms
67000: 15.3129ms
68000: 15.4609ms
69000: 15.6092ms
70000: 15.762ms
71000: 15.9115ms
72000: 16.122ms
73000: 19.432ms
74000: 19.6272ms
75000: 19.8732ms
76000: 20.0661ms
77000: 20.2376ms
78000: 20.3919ms
79000: 20.5458ms
80000: 20.7018ms
81000: 20.8607ms
82000: 21.4942ms
83000: 21.6478ms
84000: 21.7977ms
85000: 21.9495ms
86000: 22.1839ms
87000: 22.3774ms
88000: 22.5283ms
89000: 22.6839ms
90000: 22.8449ms
91000: 23.0014ms
92000: 24.5356ms
93000: 24.8475ms
94000: 25.0485ms
95000: 25.21ms
96000: 25.3643ms
97000: 25.5255ms
98000: 25.6949ms
99000: 25.8605ms
100000: 26.0854ms
